candidate_season_key,season_id,season_name,candidate_name,survival_time,departure_type_normalized,departure_category,departure_model_category,final_position_raw,proposed_departure_cause,proposed_confidence,proposal_reason,manual_final_cause,manual_review_status,source_url_1,source_excerpt_1,source_url_2,source_excerpt_2,source_quality,season_year,age,gender,physical_score,event,censored,returned_to_game,first_exit_order,final_exit_order,physical_score_confidence,gender_male,physical_score_available,complete_case_main_model,complete_case_physical_model,search_query
KL26::anne-sophie,KL26,Koh-Lanta : Le Feu Sacré,Anne-Sophie,10.0,INDETERMINE,INDETERMINE,AUTRE_SORTIE,Éliminée [ 20 ],UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Anne-Sophie"" Koh-Lanta Koh-Lanta : Le Feu Sacré première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion autre"
KL26::helena,KL26,Koh-Lanta : Le Feu Sacré,Helena,11.0,INDETERMINE,INDETERMINE,AUTRE_SORTIE,Éliminée [ 21 ],UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Helena"" Koh-Lanta Koh-Lanta : Le Feu Sacré première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion autre"
KL26::gilles,KL26,Koh-Lanta : Le Feu Sacré,Gilles,12.0,INDETERMINE,INDETERMINE,AUTRE_SORTIE,Éliminé [ 22 ],UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Gilles"" Koh-Lanta Koh-Lanta : Le Feu Sacré première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion autre"
KL26::clémence,KL26,Koh-Lanta : Le Feu Sacré,Clémence,13.0,INDETERMINE,INDETERMINE,AUTRE_SORTIE,Éliminée [ 23 ],UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Clémence"" Koh-Lanta Koh-Lanta : Le Feu Sacré première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion autre"
KL26::esteban,KL26,Koh-Lanta : Le Feu Sacré,Esteban,14.0,INDETERMINE,INDETERMINE,AUTRE_SORTIE,Éliminé [ 24 ],UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Esteban"" Koh-Lanta Koh-Lanta : Le Feu Sacré première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion autre"
KL26::laura,KL26,Koh-Lanta : Le Feu Sacré,Laura,15.0,INDETERMINE,INDETERMINE,AUTRE_SORTIE,Éliminée [ 25 ],UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Laura"" Koh-Lanta Koh-Lanta : Le Feu Sacré première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion autre"
KL26::quentin,KL26,Koh-Lanta : Le Feu Sacré,Quentin,16.0,INDETERMINE,INDETERMINE,AUTRE_SORTIE,Éliminé [ 26 ],UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Quentin"" Koh-Lanta Koh-Lanta : Le Feu Sacré première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion autre"
KL26::julie,KL26,Koh-Lanta : Le Feu Sacré,Julie,17.0,INDETERMINE,INDETERMINE,AUTRE_SORTIE,Éliminée [ 27 ],UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Julie"" Koh-Lanta Koh-Lanta : Le Feu Sacré première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion autre"
KL26::nicolas,KL26,Koh-Lanta : Le Feu Sacré,Nicolas,18.0,INDETERMINE,INDETERMINE,AUTRE_SORTIE,Éliminé [ 28 ],UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Nicolas"" Koh-Lanta Koh-Lanta : Le Feu Sacré première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion autre"
KL27::ricky poyet,KL27,Koh-Lanta : Les Chasseurs d'Immunité,Ricky Poyet,9.0,INDETERMINE,INDETERMINE,AUTRE_SORTIE,Eliminated Day 22,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Ricky Poyet"" Koh-Lanta Koh-Lanta : Les Chasseurs d'Immunité première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion autre"
