candidate_season_key,season_id,season_name,candidate_name,survival_time,departure_type_normalized,departure_category,departure_model_category,final_position_raw,proposed_departure_cause,proposed_confidence,proposal_reason,manual_final_cause,manual_review_status,source_url_1,source_excerpt_1,source_url_2,source_excerpt_2,source_quality,season_year,age,gender,physical_score,event,censored,returned_to_game,first_exit_order,final_exit_order,physical_score_confidence,gender_male,physical_score_available,complete_case_main_model,complete_case_physical_model,search_query
KL03::antoine sanchez,KL03,Koh-Lanta : Bocas del Toro,Antoine Sanchez,15.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Antoine Sanchez"" Koh-Lanta Koh-Lanta : Bocas del Toro première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux"
KL03::moussa niangane,KL03,Koh-Lanta : Bocas del Toro,Moussa Niangane,16.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Moussa Niangane"" Koh-Lanta Koh-Lanta : Bocas del Toro première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux"
KL07::ali,KL07,KL KL07,Ali,1.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Ali"" Koh-Lanta KL KL07 première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux"
KL07::pascale,KL07,KL KL07,Pascale,2.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Pascale"" Koh-Lanta KL KL07 première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux"
KL07::marie-laure,KL07,KL KL07,Marie-Laure,3.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Marie-Laure"" Koh-Lanta KL KL07 première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux"
KL07::mélanie,KL07,KL KL07,Mélanie,4.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Mélanie"" Koh-Lanta KL KL07 première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux"
KL07::véronique barriol,KL07,KL KL07,Véronique Barriol,5.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Véronique Barriol"" Koh-Lanta KL KL07 première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux"
KL07::chloé,KL07,KL KL07,Chloé,6.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Chloé"" Koh-Lanta KL KL07 première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux"
KL07::érick,KL07,KL KL07,Érick,7.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Érick"" Koh-Lanta KL KL07 première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux"
KL07::filomène,KL07,KL KL07,Filomène,8.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Filomène"" Koh-Lanta KL KL07 première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux"
KL07::adrien,KL07,KL KL07,Adrien,9.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Adrien"" Koh-Lanta KL KL07 première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux"
KL07::grégoire,KL07,KL KL07,Grégoire,10.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Grégoire"" Koh-Lanta KL KL07 première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux"
KL07::laurent,KL07,KL KL07,Laurent,11.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Laurent"" Koh-Lanta KL KL07 première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux"
KL07::patrick,KL07,KL KL07,Patrick,12.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Patrick"" Koh-Lanta KL KL07 première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux"
KL07::simon,KL07,KL KL07,Simon,13.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Simon"" Koh-Lanta KL KL07 première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux"
KL07::maryline,KL07,KL KL07,Maryline,14.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Maryline"" Koh-Lanta KL KL07 première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux"
KL08::valérie,KL08,KL KL08,Valérie,1.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Valérie"" Koh-Lanta KL KL08 première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux"
KL08::céga,KL08,KL KL08,Céga,2.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Céga"" Koh-Lanta KL KL08 première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux"
KL08::irya,KL08,KL KL08,Irya,3.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Irya"" Koh-Lanta KL KL08 première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux"
KL08::morgane,KL08,KL KL08,Morgane,4.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Morgane"" Koh-Lanta KL KL08 première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux"
KL08::jessica,KL08,KL KL08,Jessica,5.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Jessica"" Koh-Lanta KL KL08 première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux"
KL08::alain,KL08,KL KL08,Alain,6.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Alain"" Koh-Lanta KL KL08 première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux"
KL08::jean-bernard,KL08,KL KL08,Jean-Bernard,7.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Jean-Bernard"" Koh-Lanta KL KL08 première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux"
KL08::christopher,KL08,KL KL08,Christopher,8.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Christopher"" Koh-Lanta KL KL08 première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux"
KL08::christophe,KL08,KL KL08,Christophe,9.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Christophe"" Koh-Lanta KL KL08 première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux"
KL08::charlène,KL08,KL KL08,Charlène,10.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Charlène"" Koh-Lanta KL KL08 première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux"
KL08::hakim,KL08,KL KL08,Hakim,11.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Hakim"" Koh-Lanta KL KL08 première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux"
KL08::régis,KL08,KL KL08,Régis,12.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Régis"" Koh-Lanta KL KL08 première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux"
